Trading_date,Trading_period,Node,Price
1/04/2020,3,GLN0331,45.47
1/04/2020,3,GLN0332,45.47
1/04/2020,3,GOR0331,44.84
1/04/2020,3,GYM0661,46.7
1/04/2020,3,GYT0331,43.72
1/04/2020,3,HAM0111,44.25
1/04/2020,3,HAM0331,44.38
1/04/2020,3,HAM0551,44.28
1/04/2020,3,HAM2201,44.31
1/04/2020,3,HAY0111,43.49
1/04/2020,3,HAY0331,43.46
1/04/2020,3,HAY1101,43.44
1/04/2020,3,HAY2201,43.41
1/04/2020,3,HEN0331,45.65
1/04/2020,3,HEN2201,45.61
1/04/2020,3,HEP0331,45.86
1/04/2020,3,HIN0331,44.76
1/04/2020,3,HKK0661,45.81
1/04/2020,3,HLY0331,44.64
1/04/2020,3,HLY2201,44.62
1/04/2020,3,HOB1101,45.73
1/04/2020,3,HOR0331,43.89
1/04/2020,3,HOR0661,43.84
1/04/2020,3,HTI0331,44.94
1/04/2020,3,HTI1101,44.78
1/04/2020,3,HUI0331,44.45
1/04/2020,3,HWA0331,44.41
1/04/2020,3,HWA0332,44.43
1/04/2020,3,HWA1101,44.31
1/04/2020,3,HWA1102,44.31
1/04/2020,3,HWB0331,43.73
1/04/2020,3,HWB0332,43.73
1/04/2020,3,HWB1101,43.52
1/04/2020,3,HWB2201,43.68
1/04/2020,3,INV0331,45.19
1/04/2020,3,INV2201,45.18
1/04/2020,3,INV2202,45.18
1/04/2020,3,ISL0331,44.55
1/04/2020,3,ISL0661,44.67
1/04/2020,3,ISL2201,44.53
1/04/2020,3,JRD1101,44.29
1/04/2020,3,KAI0111,45.61
1/04/2020,3,KAW0111,42.23
1/04/2020,3,KAW0112,42.38
1/04/2020,3,KAW0113,42.72
1/04/2020,3,KAW1101,42.41
1/04/2020,3,KAW2201,42.63
1/04/2020,3,KBY0661,44.12
1/04/2020,3,KBY0662,44.12
1/04/2020,3,KIK0111,46.38
1/04/2020,3,KIK2201,46.49
1/04/2020,3,KIN0111,44.96
1/04/2020,3,KIN0112,44.72
1/04/2020,3,KIN0113,44.95
1/04/2020,3,KIN0331,44.8
1/04/2020,3,KMO0331,43.44
1/04/2020,3,KOE1101,46.23
1/04/2020,3,KPA1101,43.79
1/04/2020,3,KPO1101,44.22
1/04/2020,3,KPU0661,45.35
1/04/2020,3,KUM0661,45.86
1/04/2020,3,KWA0111,43.6
1/04/2020,3,LFD1101,44.45
1/04/2020,3,LFD1102,44.45
1/04/2020,3,LTN0331,43.81
1/04/2020,3,MAN2201,44.12
1/04/2020,3,MAT1101,42.08
1/04/2020,3,MCH0111,46.74
1/04/2020,3,MDN1101,46.26
1/04/2020,3,MDN2201,46.1
1/04/2020,3,MGM0331,44.28
1/04/2020,3,MHO0331,43.41
1/04/2020,3,MKE1101,44.41
1/04/2020,3,MLG0111,43.53
1/04/2020,3,MLG0331,43.55
1/04/2020,3,MNG0331,45.89
1/04/2020,3,MNG1101,45.81
1/04/2020,3,MNI0111,44.44
1/04/2020,3,MPE1101,46.56
1/04/2020,3,MST0331,43.86
1/04/2020,3,MTI2201,42.98
1/04/2020,3,MTM0331,43.51
1/04/2020,3,MTN0331,43.87
1/04/2020,3,MTO0331,46.74
1/04/2020,3,MTR0331,43.96
1/04/2020,3,NAP2201,42.41
1/04/2020,3,NAP2202,42.41
1/04/2020,3,NMA0331,45.15
1/04/2020,3,NPK0331,44.33
1/04/2020,3,NSY0331,42.43
1/04/2020,3,OAM0331,43.36
1/04/2020,3,OHA2201,42.14
1/04/2020,3,OHB2201,42.18
1/04/2020,3,OHC2201,42.09
1/04/2020,3,OHK2201,42.9
1/04/2020,3,OKI2201,42.48
1/04/2020,3,OKN0111,44.14
1/04/2020,3,ONG0331,44.48
1/04/2020,3,OPK0331,44.15
1/04/2020,3,ORO1101,47.14
1/04/2020,3,ORO1102,47.21
1/04/2020,3,OTA0221,45.64
1/04/2020,3,OTA2201,45.51
1/04/2020,3,OTA2202,45.52
1/04/2020,3,OTI0111,43.43
1/04/2020,3,OWH0111,43.3
1/04/2020,3,PAK0331,45.54
1/04/2020,3,PAO1101,45.02
1/04/2020,3,PEN0221,45.81
1/04/2020,3,PEN0251,45.68
1/04/2020,3,PEN0331,45.79
1/04/2020,3,PEN1101,45.73
1/04/2020,3,PNI0331,43.57
1/04/2020,3,PPI2201,42.6
1/04/2020,3,PRM0331,43.5
1/04/2020,3,RDF0331,42.95
1/04/2020,3,RDF2201,42.84
1/04/2020,3,RFN1101,46.87
1/04/2020,3,RFN1102,47.18
1/04/2020,3,ROS0221,45.9
1/04/2020,3,ROS1101,45.87
1/04/2020,3,ROT0111,43.35
1/04/2020,3,ROT0331,43.36
1/04/2020,3,ROT1101,43.32
1/04/2020,3,ROX1101,42.54
1/04/2020,3,ROX2201,42.84
1/04/2020,3,RPO2201,42.63
1/04/2020,3,SBK0331,45.5
1/04/2020,3,SBK0661,45.47
1/04/2020,3,SDN0331,43.72
1/04/2020,3,SFD0331,44.11
1/04/2020,3,SFD2201,44.04
1/04/2020,3,STK0331,46.68
1/04/2020,3,STK0661,46.9
1/04/2020,3,STK2201,46.66
1/04/2020,3,STU0111,43.15
1/04/2020,3,SVL0331,45.79
1/04/2020,3,SWN0251,45.56
1/04/2020,3,SWN2201,45.53
1/04/2020,3,TAK0331,45.45
1/04/2020,3,TGA0111,43.56
1/04/2020,3,TGA0331,43.63
1/04/2020,3,THI2201,42.6
1/04/2020,3,TIM0111,43.6
1/04/2020,3,TKA0111,43.41
1/04/2020,3,TKA0331,43.44
1/04/2020,3,TKB2201,42.26
1/04/2020,3,TKR0331,43.54
1/04/2020,3,TKU0331,43.24
1/04/2020,3,TKU2201,43.21
1/04/2020,3,TMI0331,43.88
1/04/2020,3,TMK0331,44.1
1/04/2020,3,TMN0551,44.29
1/04/2020,3,TMU0111,44.7
1/04/2020,3,TMU1101,44.68
1/04/2020,3,TNG0111,43.04
1/04/2020,3,TNG0551,43.02
1/04/2020,3,TRK0111,43.28
1/04/2020,3,TRK2201,43.12
1/04/2020,3,TUI1101,43.51
1/04/2020,3,TWC2201,43.68
1/04/2020,3,TWH0331,44.53
1/04/2020,3,TWI2201,45.49
1/04/2020,3,TWZ0331,42.24
1/04/2020,3,UHT0331,43.5
1/04/2020,3,WAI0111,43
1/04/2020,3,WAI0501,43.03
1/04/2020,3,WDV0111,44.13
1/04/2020,3,WDV1101,44.12
1/04/2020,3,WEL0331,46.84
1/04/2020,3,WGN0331,44.05
1/04/2020,3,WHI0111,42.82
1/04/2020,3,WHI2201,42.8
1/04/2020,3,WHU0331,45.22
1/04/2020,3,WIL0331,43.51
1/04/2020,3,WIR0331,46.04
1/04/2020,3,WKM2201,42.99
1/04/2020,3,WKO0331,45.21
1/04/2020,3,WPA2201,42.97
1/04/2020,3,WPR0331,44.95
1/04/2020,3,WPR0661,44.81
1/04/2020,3,WPW0331,44.63
1/04/2020,3,WRD0331,45.74
1/04/2020,3,WRK0331,42.46
1/04/2020,3,WRK2201,42.58
1/04/2020,3,WTK0111,41.73
1/04/2020,3,WTK0331,41.77
1/04/2020,3,WTK2201,41.93
1/04/2020,3,WTU0331,42.98
1/04/2020,3,WVY0111,44.29
1/04/2020,3,WWD1102,43.57
1/04/2020,3,WWD1103,43.61
1/04/2020,4,ABY0111,46.78
1/04/2020,4,ALB0331,49.49
1/04/2020,4,ALB1101,49.48
1/04/2020,4,APS0111,46.01
1/04/2020,4,ARA2201,46.01
1/04/2020,4,ARG1101,49.44
1/04/2020,4,ARI1101,47.81
1/04/2020,4,ARI1102,48.01
1/04/2020,4,ASB0661,47.59
1/04/2020,4,ASY0111,48.73
1/04/2020,4,ATI2201,46.3
1/04/2020,4,ATU1101,49.46
